Title,YouTube Link,brief_desc,Built With,By,Location,cluster
smart os,https://www.youtube.com/watch?v=enJkl2PN-38,"The application leverages a chatbot interface to enhance system control and productivity, allowing users to manage various functions with ease. It integrates with external services like the Gemini API to execute complex tasks and interact with other systems seamlessly.",,Abdul Rasool,India,1
Smart Screen AI,https://www.youtube.com/watch?v=O-qHTTKQmr0,"The application enables users to capture, process, and transform screen recordings into AI-generated content through a simple interface and powerful AI technology.",Desktop Application,Innovative Insights,India,0
SmartDiagnose.ai,https://www.youtube.com/watch?v=Q85SFx1ZqdU,"The application uses voice-assisted technology to analyze symptoms and lifestyle factors, providing potential risks for cancer detection at its earliest stages. It offers a platform accessible to everyone, including visually impaired individuals.",Web/Chrome,team Ayum,India,0
SmartMoney,https://www.youtube.com/watch?v=Cay572ydpd0,"The application combines financial analytics with a user-friendly interface to provide holistic personal finance management, offering tools for informed decision-making and optimization of financial strategies through its Gemini API-powered features.","Web/Chrome, Firebase",SmartMoney,India,1
SmartVision,https://www.youtube.com/watch?v=DWTzKNwl3GM,"The application provides enhanced accessibility, independence, and assistance to visually impaired individuals by leveraging technology for features such as object detection, document summarization, and reading mode. It utilizes AI-powered Gemini API to enable real-time image description and text-to-speech functionality.","Android, ML-Kit(Image Labeling, Object detection & Tracking, Text Recognition, Barcode Scanning, Face Detection)",SmartVision (Team Members : Karthik Ramachandran),India,1
Snackable Lab Content,https://www.youtube.com/watch?v=P10nGrPjjxw,"The application is a storytelling platform that uses Google Generative AI to create personalized stories based on user prompts, including instructions for filming and scene generation. It also integrates with Gemini API to provide trending story suggestions and YouTube assistance.",Flutter,Mangesh Patil,India,1
Snap Insight,https://www.youtube.com/watch?v=evPbZwSkk30,"The application provides instant, actionable insights based on user-submitted photos using advanced image recognition and AI-driven analysis, offering personalized suggestions and recommendations tailored to individual needs across various categories such as food, travel, health, and more.","Flutter, Python, FastAPI",AI Alchemists,India,0
Snapdaily,https://www.youtube.com/watch?v=mhnJhEMum48,"The application helps users streamline their daily life by transforming photos into actionable insights, offering personalized recommendations and features such as image analysis, organization, and tracking.","Flutter, Android, Firebase",Indimakes,India,0
SnapEdu,https://www.youtube.com/watch?v=bJkJoPjyyy4,"The application uses a combination of Flutter, Firebase, and Gemini models to create an optimal learning environment that provides flexibility, customization, and independence from specific ecosystems. It also includes features such as summarization, bulleted notes, MCQs, interactive chatbot integration, and access to public data.","Flutter, Firebase",SnapEdu Team,India,1
SnapLens,https://www.youtube.com/watch?v=ocUWxBEX_BM,"The application provides nutritional insights, environmental assessments, and personalized recommendations through a companion app that uses image recognition and data analysis to help users make informed dietary choices and reduce their environmental impact.","Android, Web/Chrome, Firebase, Google Cloud Console",FatGPT,India,0
SoulCare AI,https://www.youtube.com/watch?v=OoXj2_G3paI,"The application uses the Gemini-pro API to provide real-time mental health support and medical advice, handling up to 60 questions per minute and offering expert guidance through advanced AI technology.",Python Streamlit,SKAV TECH,India,1
SousChef,https://www.youtube.com/watch?v=AYnWG6tzynQ,"The application provides real-time cooking guidance and personalized recipe recommendations through a conversational AI that interacts with users via voice input, leveraging the Gemini API for natural language processing and response generation.",,Aditya Saini and Anirvinna Jain,India,1
space pod,https://www.youtube.com/watch?v=BiBEJB_wjUQ,"The application helps users learn about space in a fun way, providing information through conversations with space. It utilizes technology to facilitate this interaction.",Flutter,Adnan Omar,India,0
SpaceMania,https://www.youtube.com/watch?v=475GBFbpwEw,"The application extracts text from PDFs, indexes it using a vector store, and uses advanced AI capabilities to answer user queries about the content of the uploaded documents.","Web/Chrome, Firebase",N DIVIJ & SWARNIM,India,0
Spacey,https://www.youtube.com/watch?v=lRh4IaQh2m4,"The application is a space-themed AI-powered bot that provides users with information, quizzes, and exploration of space knowledge, aiming to spark curiosity and learning about the universe.",Web/Chrome,Team Spacey ( I was solo by the way. ),India,0
SpeakSecret,https://www.youtube.com/watch?v=4HQxx8gB_Qc,"The application allows users to share thoughts, seek advice, and connect with a community anonymously through a safe environment maintained by strict guidelines and moderation.","Flutter, Firebase",SpeakSecret,India,0
Spectra,https://www.youtube.com/watch?v=anYQO6z-1JA,"The application generates complete codebases, along with their structure, and updates them in a GitHub repository using Gemini API for generating codes.",Google OAuth,Spectra - Your AI CodeGen,India,1
SpeechProf,https://www.youtube.com/watch?v=ZxkH9xynw-0,"The application records users practicing specific words, providing real-time feedback through advanced AI capabilities to guide personalized recommendations for improving speech skills.","Flutter, Android",Team Knips,India,0
Split Easy,https://www.youtube.com/watch?v=5pcRQ67Z0Ws,"The application allows users to easily manage their expenses by splitting them into manageable transactions using a non-intuitive platform, and provides an endpoint for receipt and bill scanning to automatically fill out expenses and provide insights.",Web/Chrome,Aakash,India,0
SQL Wizard,https://www.youtube.com/watch?v=4OZauykxxvc,"The application uses natural language to interact with complex databases, generating SQL queries dynamically from user inputs using the Gemini API and LangGraph framework.",Web/Chrome,SQL Sorcerers,India,1
stAIlish,https://www.youtube.com/watch?v=PpARIonzDtY,"The application allows users to store their clothes, suggest matching outfits based on theme, and provide suggestions for different occasions such as formal, informal, casual wear.",Android,NoriNova,India,0
StartupSpark,https://www.youtube.com/watch?v=LCPTxxIB01Q,"The application helps entrepreneurs validate their startup ideas through market research, pitch deck creation, and grant analysis using advanced AI-powered tools from Gemini.","Firebase, GCP, Slides API, Forms API","Team name: SparkSquad. Members: Devam Kakoty (Backend), Avhijit Nair (Frontend)",India,1
Statistically Speaking,https://www.youtube.com/watch?v=VnUhc_IXscg,"The application utilizes Large Language Models (LLMs) to bridge human intuition with complex datasets, providing a natural language interface for users to query and analyze data using plain language.",Web/Chrome,Mirthly,India,0
Step Mentor,https://www.youtube.com/watch?v=RVKZBXkMGrI,"The application provides personalized learning experiences, AI-driven question practice, and comprehensive study tools to enhance JEE preparation through features such as interactive dashboards and mental health resources.",,Raven,India,0
Story Pulse,https://www.youtube.com/watch?v=wQU9if52uI8,"The application generates unique stories based on user prompts using a combination of AI and natural language processing capabilities, with a focus on responsible and safe storytelling.","Web/Chrome, Firebase",Spark-gen,India,0
StoryCanvas,https://www.youtube.com/watch?v=6_0HYMHbmbc,"The application provides a comprehensive platform for users to create, engage with, and interact with stories, utilizing advanced technologies such as AI-powered story generation, image creation, and real-time notifications.","Web/Chrome, Firebase",Jyotishmoy Deka and Praptipriya Phukon,India,0
StoryTeller 2,https://www.youtube.com/watch?v=dd3gf3esbo8,"The application transforms bedtime into a magical experience by offering a vast library of stories, empowering users to create their own tales, and providing interactive features like word definitions and text-to-speech.","Flutter, Web/Chrome, Firebase",Pictuscode Dev,India,0
Study Mate,https://www.youtube.com/watch?v=ns1Lv6xcWTA,"This AI-powered study assistant app enables users to interact with PDF documents, providing tools for viewing, summarizing, translating, and utilizing text-to-speech functionality for auditory learning.",Flutter,Jenniffer's Study Mate,India,0
STUDYGEN,https://www.youtube.com/watch?v=M7-2rGNlEFE,"The application allows users to upload study-related files, generate customized learning tools such as quizzes, teaching concepts, and notes, and organize them into a personalized format for easy reference.",YouTube api,STUDYGEN,India,0
Sudoku,https://www.youtube.com/watch?v=5i6Q8vvgBzI,"The application allows users to track their Sudoku progress, including attempted puzzles and solved ones, with features like AI-powered hints for guidance through tough spots.","Flutter, Android, Web/Chrome, Firebase, Genkit",Sandip Pramanik (thecodexhub),India,0
Sudoku game,https://www.youtube.com/watch?v=ARVa37XQ__U,"The application is a Sudoku game that caters to both seasoned solvers and newcomers, offering an engaging experience with a user-friendly interface and intuitive controls. It provides effortless navigation and input options for placing numbers on the grid.",Java script,Tankans,India,0
SugarWise,https://www.youtube.com/watch?v=6UxJDY1bjTE,"The application assists patients with chronic conditions, such as diabetes, by collecting and analyzing health metrics, providing personalized recommendations, and facilitating communication with healthcare providers. It enables regular tracking, timely consultations, improved data for clinicians, and increased patient inclusion through data-driven insights.",,GlucoSmart,India,0
Sujat Mukherjee,https://www.youtube.com/watch?v=ZRv-xB6Xtgg,"The main use case of this AI-powered code generation and text completion tool is to streamline creative and technical tasks in Blender by providing real-time suggestions, generating code snippets, and completing sentences or paragraphs based on context.","None, Blender",Blender Point,India,0
SumUp,https://www.youtube.com/watch?v=BFd2FgiJ0v8,"The application provides real-time, accurate transcriptions of group discussions, lectures, and meetings in multiple languages, allowing for effortless note-taking and sharing via various platforms. It also enables interactive chat features to facilitate collaboration and streamline workflow.",Flutter,Sammy’s Tech Titans,India,0
Super Diary: AI-Powered Personal Journal,https://www.youtube.com/watch?v=g4HJwMhqOdU,"The application provides a digital journaling experience with AI-powered features, allowing users to record their thoughts and emotions in a personalized manner. It offers various options, including mood tracking and journal summaries, to help users maintain a consistent writing habit and gain insights into their emotional well-being.","Android, Firebase",ByteHug Technologies,India,0
SuperbAI,https://www.youtube.com/watch?v=ZINYRudNIsU,"The application provides a seamless integration of AI and vision capabilities, allowing users to access information directly from their screen with voice commands, search functionality, and smart vision features. It offers customizable AI roles, automated reminders, and intelligent on-demand information access for convenient management.",Android,Shreyas Bhagwat,India,0
Supermemory,https://www.youtube.com/watch?v=GnyLEZvBAFc,"The application is a powerful tool that organizes, searches, and utilizes saved information with advanced features like a search engine, writing assistant, and canvas powered by RAG with Gemini.",Web/Chrome,SupermemoryAI,India,1
Survey Insights,https://www.youtube.com/watch?v=L__6lRyeUR8,"The application uses Gemini AI to transform raw survey data into actionable insights through advanced data cleansing and analysis, generating Automated Narratives that explain chart data and enhance analytics.","Web/Chrome, Firebase",Survey Point,India,1
SwiftMake,https://www.youtube.com/watch?v=P7FZiVxdhyM,"The platform generates custom software solutions by interpreting user input, using AI to produce complete code for various applications, and deploying them locally with minimal setup.",Web/Chrome,ImagineAI,India,0
Synapse AI 2,https://www.youtube.com/watch?v=52L7ycKHFFY,"The application uses advanced AI technology, specifically the Gemini API, to provide personalized tutoring sessions tailored to individual students' learning needs and styles. It delivers high-quality, interactive, and engaging educational experiences through multimodal learning capabilities.","Web/Chrome, Firebase, Google IDX, Google Gemini API",Team Synapse,India,1
Synapses,https://www.youtube.com/watch?v=HrjyXx7n9bk,"The application is a newsletter that uses AI to provide beginner-friendly news about a country and other countries, making it accessible to users who may not be familiar with advanced technology or journalism.",,Arjun Prasaath A,India,0
Tab Overview Ai,https://www.youtube.com/watch?v=LVQyg9TMX-s,"The application provides AI-generated summaries of active browser tabs, helping users quickly grasp main points from web content without reading through entire documents.",Chrome Extension,Naveen’s Team,India,0
TaleStitch,https://www.youtube.com/watch?v=otNkp2iykYg,"The platform enables users to create, share, and expand stories in a collaborative environment using AI-driven capabilities. It uses advanced AI models from Google's Gemini API to generate story elements and prompts, allowing for personalized and dynamic storytelling experiences.","Android, Firebase",TaleStitch,India,1
TaLim AI,https://www.youtube.com/watch?v=SpCgLPs7z_k,"The application is a personalized educational AI assistant that provides various features to make education more effective, modern, and accessible. It offers multiple modes (Kids, Parents, Teachers, Student), enables personalized learning, and includes features such as storytelling, summarization, and chat capabilities.","Flutter, Firebase",TaLim Platform,India,0
Task Planner,https://www.youtube.com/watch?v=Q3Jj2ftXzTE,"The application helps users organize their daily activities efficiently by generating tasks based on a brief description of their day, utilizing a combination of user input and external API data to simplify routine management.",Flutter,"Reuben chagas fernandes, Delano Lourenco",India,0
TaskAssassin,https://www.youtube.com/watch?v=8QK7psXm2ck,"The application leverages AI to manage tasks, meetings, and projects through a natural language interface that transforms input into task delegation and real-time updates. It uses the Gemini API for seamless syncing across devices.","Flutter, Firebase",Team INSPIRE,India,1
Taskbreakdown,https://www.youtube.com/watch?v=kK-85szImcc,"The application helps users set and track goals, generate action plans, and sync tasks with Google Calendar and Tasks, providing real-time feedback on progress and updating plans as needed.","Google Calendar, and Google Tasks API",,India,0
Tavish Anade,https://www.youtube.com/watch?v=aSuuwfE-w6Q,"The application is a modern, feature-rich user experience designed to provide a seamless interface with clean and minimalistic design, adaptable to light and dark themes. Its core functionality revolves around providing a comfortable viewing experience across various environments.",React.js,legendryflyer,India,0
Taxes with Gemini,https://www.youtube.com/watch?v=eNrTnJ4URik,"The application helps users maximize their tax deductions and exemptions, calculate their tax liability, create personalized tax plans, and access profession-specific advice to optimize their tax savings and make informed financial decisions.","Google cloud, vertex ai",Tax-saviors,India,0
TechFusion- The researchers companion,https://www.youtube.com/watch?v=nGB-6d86q6U,"The application uses the Gemini API to simplify academic work by providing features such as section identification, concept tagging, keyword extraction, definition extraction, and an interactive bot for navigation.",Angular,Techfusion,India,1
TechieAI,https://www.youtube.com/watch?v=oy-YLHI_VPA,"The application provides real-time, accurate hardware recommendations for building PCs through advanced AI integration with the Gemini API, guiding users through every step of the process to ensure seamless compatibility and a high-quality build at the right price.",Flutter,Tech Blazers,India,1
Telecalli,https://www.youtube.com/watch?v=uoQNI2G2-Ys,"The application uses AI to generate personalized, human-like questions and answers based on customer descriptions, initiating high-quality calls that deliver tailored pitches and responses.","Web/Chrome, Firebase",Spambots,India,0
TempoX,https://www.youtube.com/watch?v=Len_X0ox_KQ,"The application uses the Gemini API to generate pre-filled video guide templates, eliminating the need for users to create content from scratch.",Flutter,Tempo,India,1
TeQubit - Your Personal CompSci Expert,https://www.youtube.com/watch?v=rljtVLSHj6M,"The application is a Gemini API-driven chatbot that uses structured meta prompts to elicit user knowledge and preferences, generating tailored responses based on their level of expertise and interests. It offers an interactive learning experience with detailed explanations, analogies, practical applications, and summaries.","Android, Firebase",Stormatte Apps by Aneesh.M & USVSN Sai Prashanth,India,1
Terra Prize,https://www.youtube.com/watch?v=G1DvpjU1zNg,"The app rewards users for sustainable actions by verifying their activities through AI, assigning scores, and awarding prizes based on performance and available funds.","Flutter, Firebase",Berry,India,0
Test-Gen,https://www.youtube.com/watch?v=BMpBTNM70xs,"The application is designed to automate test cases and steps for web app testing, utilizing a Chrome extension that enables user action recording.",Web/Chrome,Natraj Warrior,India,0
TeXpert,https://www.youtube.com/watch?v=dcBticRs6Io,"The application allows users to create PDF documents using LaTeX, a programming language, with iterative modifications made possible by prompt-based generation and compilation. It also enables image upload for insertion into the document.","Web/Chrome, Firebase",,India,0
Text/Code Utils.ai,https://www.youtube.com/watch?v=e1IovBVIyNw,"The application is a list of versatile tools that utilize the Gemini API to deliver tailored text and code-related outputs, powered by custom prompts.","Web/Chrome, React JS",devbyayaz,India,1
The Blend,https://www.youtube.com/watch?v=pdzt0E5Wp0Q,"The application uses a combination of natural language processing (NLP), machine learning, and AI-powered tools to create a personalized radio listening experience for users based on their requirements and preferences.",Flutter,NaCl,India,0
The Fashion,https://www.youtube.com/watch?v=32aAmSTqtm4,"The application suggests personalized fashion recommendations based on user input, including skin tone, hair color, eye color, body shape, occasion, season, and gender. It then generates outfits with styling tips and color coordination, allowing users to visualize and purchase items directly through the app.",Web/Chrome,Anoop G,India,0
The Quick Answers,https://www.youtube.com/watch?v=M-49p49ZFi0,"The application allows users to ask questions, search for answers, and generate new ones using AI-powered content generation. It enables a community-driven approach by allowing users to edit, improve, and vote on existing answers.",Web/Chrome,Sooraj & Aneesh,India,0
The Reader,https://www.youtube.com/watch?v=DPs9e6HX_-w,"The application transforms books into interactive experiences, offering features such as summarizing chapters, engaging with characters, visualizing PDFs, and creating quizzes to test knowledge. It utilizes AI capabilities like Gemini to enhance its functionality.",Flutter,Web Tech Talkies,India,1
The School Management,https://www.youtube.com/watch?v=VkvOxr5DQ5Q,"The application allows students and parents to manage various student-related activities, including homework, study materials, and attendance, as well as other features such as exam results, notifications, and payment history.",Flutter,Intechno,India,0
Third Eye 1,https://www.youtube.com/watch?v=cRTjUSgXhKY,"The application provides advanced functionalities to assist blind people through voice commands and Gemini AI-powered features, enhancing accessibility and supporting daily tasks.",Android,Meet,India,1
Threadeo 2.O,https://www.youtube.com/watch?v=Zc6wrPGSHfM,"The application seamlessly integrates chat functionalities with dynamic content generation, leveraging the Gemini API to provide personalized content based on users' interests and preferences. It also offers features such as real-time updates on cryptocurrency trends and market insights, engaging posts without comments, and customizable design options.",Web/Chrome,Purna ChandraShekar Giduthuri,India,1
TicketGenie AI,https://www.youtube.com/watch?v=BCDvCjVgRNs,"The application uses the Gemini API to analyze reported issues, suggesting quick fixes before raising a ticket, reducing the number of tickets created and saving time for both users and support staff.","Flutter, Android",AMJAD V K,India,1
TimeSked,https://www.youtube.com/watch?v=rZlUvHB2BcA,"The application uses the Gemini API to simplify event scheduling within the Telegram messaging platform, allowing users to create calendar events by sending a text message and automatically extracting key details.",Firebase,TimeSked,India,1
TimifAI,https://www.youtube.com/watch?v=vsd-j3ntOt0,"The application is a time management tool that uses AI to help users track their time and identify areas where they can improve productivity. It gathers insights into tasks and activities, providing accurate answers through a locally run SQL query using Gemini AI technology.","Android, Google Sheets API, Text to Speech, Firebase","Team = faangX, TeamMembers = (LavishSwarnkar, DeepakChoudhary))",India,1
Tipflow,https://www.youtube.com/watch?v=vchdOEAUgPA,"The application automates key aspects of lead generation, customer engagement, and sales processes by analyzing user behavior in real-time using advanced natural language processing capabilities through its GEMINI API integration.",Web/Chrome,ADRIG,India,1
TLDR Courses,https://www.youtube.com/watch?v=L142i5cKLxE,"The application provides personalized learning experiences by generating courses from user documentation, utilizing AI data generation and system information to provide tailored knowledge.","Web/Chrome, Firebase",TLDR Courses,India,0
TMT: Track My Things,https://www.youtube.com/watch?v=I9JNLrqg_T8,"The application allows users to easily add, store, and manage their products by taking a picture of the product bill using AI-powered data entry. It provides features such as quick search, advanced filtering and sorting, Google sign-in, bilingual support, and light/dark mode for seamless management.","Flutter, Firebase",Team MS,India,0
Toys,https://www.youtube.com/watch?v=j-WOaPF8dtI,"The application is designed to simplify tasks for creators, students, and developers by automating everyday processes. It leverages a unique technology to streamline these tasks.",Web/Chrome,,India,0
Trade/sync,https://www.youtube.com/watch?v=ZMQYvSF3HnE,"The platform uses a sophisticated trading strategy that generates signals for various timeframes, managing stop-loss and take-profit orders to achieve an impressive win rate of 80% and returns within 25-30 days. It also features AI-powered financial guidance, advanced market analysis, and flexible trading options.","Web/Chrome, Firebase, google Youtube data API, google Analytics API",Mad Astra,India,0
Travel Easy,https://www.youtube.com/watch?v=-ig5qsIm61A,"This travel planning web application uses Node.js and the Gemini API to generate a personalized itinerary based on user inputs, providing tailored activity plans, budget breakdowns, and accommodation options for specific destinations and preferences.","None, Web/Chrome, Node.js Express",Rahul Team,India,1
Travel Gemini,https://www.youtube.com/watch?v=GiCFJF2tE_o,"The application allows users to generate travel itineraries for any country, place, or city with a specified number of days using Gemini API and can also upload images to suggest specific locations from an image.",Web/Chrome,Harsh's Team,India,1
Travelify,https://www.youtube.com/watch?v=qF-uTDAzwPw,"The application helps users plan personalized trips by crafting custom itineraries based on their preferences, using AI and real-time data from external APIs to suggest activities, dining options, and budget-friendly alternatives.","Places API, Maps API",Verve,India,0
Trip Lab,https://www.youtube.com/watch?v=4tykSHxaYUk,"The application helps users discover new destinations by comparing their travel mood with a photo bank, recommending 1-3 matching destinations based on detected elements, and generating personalized itineraries using Gemini technology.",Web/Chrome,Tanmay Verma,India,1
Triplo Travels - Smart Travel Companion,https://www.youtube.com/watch?v=-gPoiAFM3nc,"The application provides real-time insights, personalized recommendations, and video suggestions using the Gemini API to enhance travel experiences.",Web/Chrome,TechSkil,India,1
Tripmate,https://www.youtube.com/watch?v=5VqZ9pgSvWc,"The main use case of this travel companion is to provide personalized itineraries, real-time navigation, and seamless integration with local travel guides for travelers.",Web/Chrome,HopeIO,India,0
TuneStory,https://www.youtube.com/watch?v=t6hYcoV4G6g,"The application uses AI to analyze music sentiment and generate visuals for a video album, skit, or play with added drama, using Gemini AI's audio processing capabilities.",Web/Chrome,SushWar,India,1
Udhavi Bot,https://www.youtube.com/watch?v=9RiZeJHdBMs,"The application aims to make government schemes accessible to millions of people in India by providing a voice-based chatbot that can process complex documents and translate them into vernacular languages, allowing users to easily access benefits.","Web/Chrome, Google Text to Speech API, GoogleGenerativeAIEmbeddings",Voice Vanguard,India,0
UI Pro by Gemini,https://www.youtube.com/watch?v=mhaPWpee5eE,"The application ""UI Pro by Gemini"" is an AI-powered tool that helps Android developers create accessible and compatible UIs for various devices. It integrates with Android Studio through a Chrome extension, allowing users to analyze their designs with advanced AI capabilities. The main benefits of using this app include saving time and effort, improving accessibility, enhancing user experience, and gaining AI-driven insights.","Web/Chrome, Firebase",Maeve Titans,India,1
Unified Search,https://www.youtube.com/watch?v=KBTORHtdqao,"The application consolidates search results from Google and Gemini, providing a comprehensive and seamless search experience with fast and relevant information. It uses the Gemini API to fetch real-time search results.","Android, Web/Chrome",vedhas,India,1
UniqBot,https://www.youtube.com/watch?v=OjwdOE0wQn0,"The application uses Gemini AI for keyword search, topic generation, article creation, podcast generation, and course development, with additional support from Google Text-to-Speech API for speech generation.","Web/Chrome, Firebase, Google Text-to-Speech API",Keystone,India,1
urbanchat.ai,https://www.youtube.com/watch?v=vXuwHfVLhFQ,"The application uses the Gemini API to create smart chatbots that can understand customer inquiries, provide personalized responses, and handle multiple queries simultaneously, offering reliable 24/7 customer support.",,urbanchat.ai,India,1
UserPrompt,https://www.youtube.com/watch?v=3SfRcqWjUrk,"The application enables users to customize a live website by providing prompts that are analyzed and applied to the DOM (Document Object Model) of the HTML code, allowing for efficient updates without losing state.",Web/Chrome,,India,0
Vaarta.ai,https://www.youtube.com/watch?v=1V9r9H0Cymw,"The system uses Google Gemini's AI to provide natural, intelligent responses to customer queries over phone support, with the goal of delivering effortless and multi-lingual interactions while integrating sentiment analysis for enhanced handling.","Web/Chrome, Firebase, IVR Technology",Team Vaarta,India,1
Vade Studio,https://www.youtube.com/watch?v=RXGWbZ4iiEs,"The application is an all-in-one no-code SaaS app builder that empowers users to create apps without technical expertise, using AI-powered recipes and Gemini API integration.",,Vade Labs,India,1
Vani,https://www.youtube.com/watch?v=cJtl1DU-v10,"The application uses advanced AI-powered language learning, simulating real-life conversations to immerse users in a language from day one. It offers adaptive learning and culturally relevant insights through real-time feedback.","Flutter, Firebase",Vani,India,0
Varun Arora,https://www.youtube.com/watch?v=jTsQqHk0E7E,"The application utilizes HyDe, Decomposition techniques, and Gemini 1.5 flash model to provide a RAG (Rapid Application Generation) solution built upon Kubernetes documentation.",Web/Chrome,Solo Dolo,India,1
Velocity,https://www.youtube.com/watch?v=6yn7EuDKh0s,"The application is a tool that enables creators to generate precise, high-quality content by offering intuitive customization and seamless integration with AI models like DALL-E 2 and Midjourney.",Web/Chrome,Totem Interactive,India,0
VerbaGen,https://www.youtube.com/watch?v=R_p1-PXDQiU,"The application automates content adaptation for diverse linguistic and cultural audiences by transforming input content into culturally relevant scripts using AI-powered Gemini API analysis, open-source models, and thumbnail generation capabilities.","Flutter, Firebase",OblivionOps,India,1
verbi.AI,https://www.youtube.com/watch?v=6HrhalE76UM,"The application is an AI-powered tool that provides instant grammar checks, translation services with customization options, advanced chat functionality, and tailored conversations based on user preferences. It offers a sleek and intuitive interface for seamless user experience.",Web/Chrome,Mohd Bilal,India,0
VIdAI,https://www.youtube.com/watch?v=aZsI2YwOLyo,"The application uses the Gemini API to process video files, TalkBack feature of Android for accessibility, and Google TTS (Text-to-Speech) technology to provide audio descriptions of videos.","Android, Firebase, Google Cloud, Vertex AI",Sparkling Apps,India,1
VIDAI ( Virtual Inteligent Desk AI ),https://www.youtube.com/watch?v=1gO8FUjC4QQ,"The application helps students learn a new language and solve problems by using AI-powered tools, including Gemini, to create an interactive and engaging experience through a desktop app built in Unity with Google Cloud services.",Google Cloud text to speach,"Arulbabu, Karan, Amalroshan, Sharan, Mani",India,1
viralxpost,https://www.youtube.com/watch?v=8OZD4Wnpk2g,"The application helps users create engaging content that reaches the right audience, breaking through noise to get noticed. It leverages unique technologies to facilitate this process.",Web/Chrome,viralxpost,India,0
Vision Crafters,https://www.youtube.com/watch?v=-eCK5I4q3Es,"The application enhances the understanding of surroundings for visually impaired individuals by using camera, Gemini API, text-to-speech, and hazard detection to provide a safe and accessible experience.","Flutter, Firebase",Vision Crafters,India,1
VISION_AI,https://www.youtube.com/watch?v=dwbc7CQL0P0,"The application provides real-time audio feedback and instructions to blind individuals through a cutting-edge AI guidance system, utilizing generative AI, computer vision, and wearable devices for independent travel and access to information and services.","Web/Chrome, Firebase",VISION_AI,India,0
VisionBuddy,https://www.youtube.com/watch?v=8wCxU7QFhiA,"The application transforms real-time video into speech, providing instant auditory descriptions for navigation and understanding, while also storing video analysis in a text embedding datastore for future reference.",Web/Chrome,VisionBuddy,India,0
VK: ALL IN ONE CHATBOT WITH TRANSLATOR,https://www.youtube.com/watch?v=gjLYpbMjohk,"The application is an all-in-one solution that integrates multiple PDF handling, vision-based chatbots, and advanced prompts into a single platform, enhancing productivity by automating document management and providing intuitive AI-driven interactions.",Web/Chrome,VK,India,0
Voice Link,https://www.youtube.com/watch?v=EvQ4u0o2iSQ,"The application uses AI to transform conversations into natural-sounding speech, allowing users to make calls without manually typing out responses. It analyzes incoming calls, generates relevant text, and converts it into clear speech, enabling hands-free communication while focusing on other tasks.",Flutter,Ishman Singh,India,0
Voicera,https://www.youtube.com/watch?v=2lG5n9i1wws,"The application is an AI-powered cold-calling platform that uses Google Gemini AI to provide personalized, efficient, and scalable customer engagement interactions. It combines technology with a user-friendly interface to improve communication across various industries.","Web/Chrome, Firebase","Voicera, VoiceTech, Call Cavalry, Dial Defenders, AI Avengers, ConvAI, ConnectAI",India,1
Voyager,https://www.youtube.com/watch?v=eGcrY00Qd4k,"The application simplifies trip planning by providing collaborative trip planning, travel option comparisons, real-time expense tracking, and integrated mapping services, with a focus on enhancing user experience through technology integration.",Flutter,Voyagers,India,0
VRPlaced,https://www.youtube.com/watch?v=xGIuyaqDJdI,"The application uses AI-powered immersive training to help users prepare for career interviews, offering hyper-realistic simulations, personalized feedback, and real-time analytics. It also provides support in multiple languages and incorporates stress management tools.","Flutter, Web/Chrome, Firebase",MythyaVerse,India,0
Vyas,https://www.youtube.com/watch?v=GqNg0AAQ720,"The application provides an interactive learning experience by breaking down complex topics into understandable parts, offering explanations in various styles and formats to cater to individual learning needs.","Web/Chrome, Firebase",Devesh,India,0
WallPaintAI,https://www.youtube.com/watch?v=JTgmNOfFIg8,"The application uses AI to analyze a room's wall, suggest paint colors and repair methods, and provide augmented reality visualization of these suggestions for real-world experience.","Android, ARCore",,India,0
WanderMate,https://www.youtube.com/watch?v=JcaWNf7rTsA,"The application provides personalized travel planning, translation services, cultural insights, and other features to enhance user experience while traveling. It leverages real-time data from a Gemini API for accurate information and machine learning capabilities for tailored recommendations.",Web/Chrome,TravelBuddy,India,1
Waste AI,https://www.youtube.com/watch?v=vi6ctKT3XWU,"The application uses Gemini multi-modal capabilities to classify waste into dry or wet categories, providing users with better decision-making on waste management in their neighborhood.","Flutter, Android",Zero Waste,India,1
Weather App (Ritu),https://www.youtube.com/watch?v=2kEpWiggL3I,"The application integrates the Gemini API to provide personalized health, food, and exercise tips based on current weather conditions. It also enables AI-powered trip planning using weather predictions from an integrated weather API.",Web/Chrome,Vedic Visionaries,India,1
WeatherDost,https://www.youtube.com/watch?v=jh5AkiIPCmg,"The application provides a personal weather wizard that taps into external APIs to fetch weather forecasts and natural disaster risks for any location, summarizing the information in plain language using AI technology from Gemini API.","Web/Chrome, Angular JS (frontend framework)",WeatherDost,India,1
Weathergit,https://www.youtube.com/watch?v=pwTF-Q0yC9E,"The application provides real-time weather updates, personalized advice, 3D Earth visualization, and voice integration to help users make informed decisions about their day or travel plans.","Web/Chrome, Google Speech Synthesis API",Luffy's Code Pirates,India,0
Web-X : Gemini Based Chrome Extension,https://www.youtube.com/watch?v=INEX1lAlUEI,"The application provides instant content summaries and interactive chat functionalities for websites and YouTube videos, using a combination of backend processing with FastAPI and real-time communication with the Gemini API.",Web/Chrome,Abhishek,India,1
